problem,n,m,success,objective,infeasibility,evaluations,time,exit_code,message
HATFLDD,3,0,True,2.546904220634485e-07,0.0,56,0.0012271404266357422,3,Function tolerance reached
HATFLDDNE,3,10,False,0.0,1.2470731168064089,34,0.006880760192871094,3,Infeasible solution
HATFLDE,3,0,True,5.120402298850142e-07,0.0,52,0.0009162425994873047,3,Function tolerance reached
HATFLDENE,3,21,False,0.0,2.420273902630471,17,0.00630497932434082,3,Infeasible solution
HATFLDF,3,3,True,0.0,0.0722433254273156,69,0.003331899642944336,3,Function tolerance reached
HATFLDFL,3,0,True,6.657486351256685e-05,0.0,9,0.00014853477478027344,3,Function tolerance reached
HATFLDFLNE,3,3,True,0.0,0.01302909111904557,36,0.0016262531280517578,3,Function tolerance reached
HATFLDFLS,3,0,True,3.264994861010606e-14,0.0,45,0.0006432533264160156,3,Function tolerance reached
HATFLDG,25,25,False,0.0,3.3535573744823277,54,0.10934638977050781,3,Infeasible solution
HATFLDGLS,25,0,True,1.7983841578243948e-11,0.0,57,0.005551815032958984,3,Function tolerance reached
HATFLDH,4,7,False,-50.0,7.0,5,0.0009291172027587891,3,Infeasible solution
HEART6,6,6,False,0.0,75.92376735222648,29,0.004619598388671875,3,Infeasible solution
HEART6LS,6,0,True,0.013538011631800687,0.0,501,0.011029243469238281,3,Function tolerance reached
HEART8,8,8,False,0.0,27.77910014786551,21,0.005458354949951172,3,Infeasible solution
HEART8LS,8,0,True,1.140951874473652,0.0,112,0.002803325653076172,3,Function tolerance reached
HELIX,3,0,True,24.751271631249153,0.0,38,0.00029754638671875,3,Function tolerance reached
HELIXNE,3,3,False,0.0,49.999997982896986,3,0.00012612342834472656,3,Infeasible solution
HIELOW,3,0,True,-18915396.380757775,0.0,121,0.12112045288085938,3,Function tolerance reached
HILBERTA,2,0,True,1.6376810393721236e-44,0.0,13,0.00021696090698242188,3,Function tolerance reached
HILBERTB,10,0,True,7.512420156382286e-40,0.0,38,0.001447916030883789,3,Function tolerance reached
HIMMELBA,2,2,False,0.0,12.0,70,0.0017104148864746094,3,Infeasible solution
